.,the,1.000000
the,of,1.000000
of,and,1.000000
and,to,1.000000
to,a,1.000000
a,in,1.000000
in,for,1.000000
for,is,1.000000
is,on,1.000000
on,that,1.000000
that,by,1.000000
by,this,1.000000
this,with,1.000000
with,i,1.000000
i,you,1.000000
you,it,1.000000
it,not,1.000000
not,or,1.000000
or,be,1.000000
be,are,1.000000
are,from,1.000000
from,at,1.000000
at,as,1.000000
as,your,1.000000
your,all,1.000000
all,have,1.000000
have,new,1.000000
new,more,1.000000
more,an,1.000000
an,wasthe,0.050000,was,0.950000
wasthe,of,1.000000
was,we,1.000000
we,will,1.000000
will,in,0.031250,home,0.968750
home,can,1.000000
can,us,1.000000
us,about,1.000000
about,ifthe,0.187500,if,0.812500
ifthe,of,1.000000
if,we,0.487179,page,0.500000,wethe,0.012821
page,my,1.000000
my,has,1.000000
has,search,1.000000
search,free,1.000000
free,but,1.000000
but,our,1.000000
our,one,1.000000
one,other,1.000000
other,do,1.000000
do,in,0.846154,home,0.076923,no,0.076923
wethe,of,1.000000
no,information,1.000000
information,time,1.000000
time,they,1.000000
they,site,1.000000
site,he,1.000000
he,up,1.000000
up,may,1.000000
may,what,1.000000
what,which,1.000000
which,their,1.000000
their,news,1.000000
news,out,1.000000
out,use,1.000000
use,any,1.000000
any,there,1.000000
there,see,1.000000
see,only,1.000000
only,so,1.000000
so,his,1.000000
his,when,1.000000
when,contact,1.000000
contact,here,1.000000
here,business,1.000000
business,who,1.000000
who,web,1.000000
web,also,1.000000
also,now,1.000000
now,help,1.000000
help,get,1.000000
get,pm,1.000000
pm,view,1.000000
view,online,1.000000
online,c,1.000000
c,e,1.000000
e,first,1.000000
first,am,1.000000
am,been,1.000000
been,would,1.000000
would,how,1.000000
how,were,1.000000
were,me,1.000000
me,s,1.000000
s,services,1.000000
services,some,1.000000
some,these,1.000000
these,click,1.000000
click,its,1.000000
its,like,1.000000
like,service,1.000000
service,x,1.000000
x,than,1.000000
than,find,1.000000
find,price,1.000000
price,date,1.000000
date,back,1.000000
back,top,1.000000
top,people,1.000000
people,had,1.000000
had,list,1.000000
list,name,1.000000
name,just,1.000000
just,over,1.000000
over,state,1.000000
state,year,1.000000
year,day,1.000000
day,into,1.000000
into,email,1.000000
email,two,1.000000
two,health,1.000000
health,n,1.000000
n,world,1.000000
world,re,1.000000
re,next,1.000000
next,used,1.000000
used,go,1.000000
go,b,1.000000
b,work,1.000000
work,last,1.000000
last,most,1.000000
most,products,1.000000
products,music,1.000000
music,buy,1.000000
buy,data,1.000000
data,make,1.000000
make,them,1.000000
them,should,1.000000
should,product,1.000000
product,system,1.000000
system,post,1.000000
post,her,1.000000
her,city,1.000000
city,t,1.000000
t,add,1.000000
add,policy,1.000000
policy,number,1.000000
number,such,1.000000
such,please,1.000000
please,available,1.000000
available,copyright,1.000000
copyright,support,1.000000
support,message,1.000000
message,after,1.000000
after,best,1.000000
best,software,1.000000
software,then,1.000000
then,jan,1.000000
jan,good,1.000000
good,video,1.000000
video,well,1.000000
well,d,1.000000
d,where,1.000000
where,info,1.000000
info,rights,1.000000
rights,public,1.000000
public,books,1.000000
books,high,1.000000
high,school,1.000000
school,through,1.000000
through,m,1.000000
m,each,1.000000
each,links,1.000000
links,she,1.000000
she,review,1.000000
review,years,1.000000
years,order,1.000000
order,very,1.000000
very,privacy,1.000000
privacy,book,1.000000
book,items,1.000000
items,company,1.000000
company,r,1.000000
r,read,1.000000
read,group,1.000000
group,sex,1.000000
sex,need,1.000000
need,many,1.000000
many,user,1.000000
user,said,1.000000
said,de,1.000000
de,does,1.000000
does,set,1.000000
set,under,1.000000
under,general,1.000000
general,research,1.000000
research,university,1.000000
university,january,1.000000
january,mail,1.000000
mail,full,1.000000
full,map,1.000000
map,reviews,1.000000
reviews,program,1.000000
program,life,1.000000
life,know,1.000000
know,games,1.000000
games,way,1.000000
way,days,1.000000
days,management,1.000000
management,p,1.000000
p,part,1.000000
part,could,1.000000
could,great,1.000000
great,united,1.000000
united,hotel,1.000000
hotel,real,1.000000
real,f,1.000000
f,item,1.000000
item,international,1.000000
international,center,1.000000
center,ebay,1.000000
ebay,must,1.000000
must,store,1.000000
store,travel,1.000000
travel,comments,1.000000
comments,made,1.000000
made,development,1.000000
development,report,1.000000
report,off,1.000000
off,member,1.000000
member,details,1.000000
details,line,1.000000
line,terms,1.000000
terms,before,1.000000
before,hotels,1.000000
hotels,did,1.000000
did,send,1.000000
send,right,1.000000
right,type,1.000000
type,because,1.000000
because,local,1.000000
local,those,1.000000
those,using,1.000000
using,results,1.000000
results,office,1.000000
office,education,1.000000
education,national,1.000000
national,car,1.000000
car,design,1.000000
design,take,1.000000
take,posted,1.000000
posted,internet,1.000000
internet,address,1.000000
address,community,1.000000
community,within,1.000000
within,states,1.000000
states,area,1.000000
area,want,1.000000
want,phone,1.000000
phone,dvd,1.000000
dvd,shipping,1.000000
shipping,reserved,1.000000
reserved,subject,1.000000
subject,between,1.000000
between,forum,1.000000
forum,family,1.000000
family,l,1.000000
l,long,1.000000
long,based,1.000000
based,w,1.000000
w,code,1.000000
code,show,1.000000
show,o,1.000000
o,even,1.000000
even,black,1.000000
black,check,1.000000
check,special,1.000000
special,prices,1.000000
prices,website,1.000000
website,index,1.000000
index,being,1.000000
being,women,1.000000
women,much,1.000000
much,sign,1.000000
sign,file,1.000000
file,link,1.000000
link,open,1.000000
open,today,1.000000
today,technology,1.000000
technology,south,1.000000
south,case,1.000000
case,project,1.000000
project,same,1.000000
same,pages,1.000000
pages,uk,1.000000
uk,version,1.000000
version,section,1.000000
section,own,1.000000
own,found,1.000000
found,sports,1.000000
sports,house,1.000000
house,related,1.000000
related,security,1.000000
security,both,1.000000
both,g,1.000000
g,county,1.000000
county,american,1.000000
american,photo,1.000000
photo,game,1.000000
game,members,1.000000
members,power,1.000000
power,while,1.000000
while,care,1.000000
care,network,1.000000
network,down,1.000000
down,computer,1.000000
computer,systems,1.000000
systems,three,1.000000
three,total,1.000000
total,place,1.000000
place,end,1.000000
end,following,1.000000
following,download,1.000000
download,h,1.000000
h,him,1.000000
him,without,1.000000
without,per,1.000000
per,access,1.000000
access,think,1.000000
think,north,1.000000
north,resources,1.000000
resources,current,1.000000
current,posts,1.000000
posts,big,1.000000
big,media,1.000000
media,law,1.000000
law,control,1.000000
control,water,1.000000
water,history,1.000000
history,pictures,1.000000
pictures,size,1.000000
size,art,1.000000
art,personal,1.000000
personal,since,1.000000
since,including,1.000000
including,guide,1.000000
guide,shop,1.000000
shop,directory,1.000000
directory,board,1.000000
board,location,1.000000
location,change,1.000000
change,white,1.000000
white,text,1.000000
text,small,1.000000
small,rating,1.000000
rating,rate,1.000000
rate,government,1.000000
government,children,1.000000
children,during,1.000000
during,usa,1.000000
usa,return,1.000000
return,students,1.000000
students,v,1.000000
v,shopping,1.000000
shopping,account,1.000000
account,times,1.000000
times,sites,1.000000
sites,level,1.000000
level,digital,1.000000
digital,profile,1.000000
profile,previous,1.000000
previous,form,1.000000
form,events,1.000000
events,love,1.000000
love,old,1.000000
old,john,1.000000
john,main,1.000000
main,call,1.000000
call,hours,1.000000
hours,image,1.000000
image,department,1.000000
department,title,1.000000
title,description,1.000000
description,non,1.000000
non,k,1.000000
k,y,1.000000
y,insurance,1.000000
insurance,another,1.000000
another,why,1.000000
why,shall,1.000000
shall,property,1.000000
property,class,1.000000
class,cd,1.000000
cd,still,1.000000
still,money,1.000000
money,quality,1.000000
quality,every,1.000000
every,listing,1.000000
listing,content,1.000000
content,country,1.000000
country,private,1.000000
private,little,1.000000
little,visit,1.000000
visit,save,1.000000
save,tools,1.000000
tools,low,1.000000
low,reply,1.000000
reply,customer,1.000000
customer,december,1.000000
december,compare,1.000000
compare,movies,1.000000
movies,include,1.000000
include,college,1.000000
college,value,1.000000
value,article,1.000000
article,york,1.000000
york,man,1.000000
man,card,1.000000
card,jobs,1.000000
jobs,provide,1.000000
provide,j,1.000000
j,food,1.000000
food,source,1.000000
source,author,1.000000
author,different,1.000000
different,press,1.000000
press,u,1.000000
u,learn,1.000000
learn,sale,1.000000
sale,around,1.000000
around,print,1.000000
print,course,1.000000
course,job,1.000000
job,canada,1.000000
canada,process,1.000000
process,teen,1.000000
teen,room,1.000000
room,stock,1.000000
stock,training,1.000000
training,too,1.000000
too,credit,1.000000
credit,point,1.000000
point,join,1.000000
join,science,1.000000
science,men,1.000000
men,categories,1.000000
categories,advanced,1.000000
advanced,west,1.000000
west,sales,1.000000
sales,look,1.000000
look,english,1.000000
english,left,1.000000
left,team,1.000000
team,estate,1.000000
estate,box,1.000000
box,conditions,1.000000
conditions,select,1.000000
select,windows,1.000000
windows,photos,1.000000
photos,gay,1.000000
gay,thread,1.000000
thread,week,1.000000
week,category,1.000000
category,note,1.000000
note,live,1.000000
live,large,1.000000
large,gallery,1.000000
gallery,table,1.000000
table,register,1.000000
